reference sentences CVD,XLSR Wav2Vec2 Dutch,Whisper by OpeanAI
het containerschip lag aangemeerd in de haven,het containerschip lag aangemeerd in de haven,het containerschip lag aangemeerd in de haven
de bezorgtijd is dan wel minstens vier weken,de bezorgtijd is dan wel minstens vier weken,de bezorgdheid is dan wel minstens vier weken
de dolfijnen sprongen uit het water voor de boeg van het schip,de dolfijnen sprongen uit het water voor de boeg van het schip,de dolfijnen sprongen uit het water voor de boeg van het schip
het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning,het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning,het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning
de regenpijp lekt weer,de regenpijp lekt weer,de regenpijp lekt weer
met knikkende knieën liep ik het kantoor binnen,met knikkende knieën liep ik het kantoor binnen,met knikkende knieën liep ik het contour binnen
ze brak haar arm op meerdere plekken,ze brak haar arm op meerdere plekken,ze brak haar arm op meerdere plekken
de smartphone maakte een gek geluid,de smartphone maakte een gek geluid,de smartphone maakt een gek geluid
ik ben vergeten een cadeau te kopen,ik ben vergeten een cadeau te kopen,ik ben vergeten een cadeau te kopen
we moeten nog met de hond gaan wandelen,we moeten nog met de hond gaan wandelen,we moeten nog met de hond gaan wandelen
gent brugge antwerpen leuven hasselt bergen namen aarlen waver en luik zijn de hoofdsteden van de tien provincies in belgië,gent brugge antwerpen leuven hasselt bergen namen aarlen waver en luik zijn de hoofdsteden van de tien provincies in belgië,gent brugge antwerpen leuven hasselt bergen namen alen wavre en luik zijn de hoofdsteden van de tien provincies in belgië
vertel me alsjeblieft meer over je symptomen,vertel me alsjeblieft meer over je symptomen,vertel me alsjeblieft meer over je symptomen
de politie heeft een dossier geopend over die onrustwekkende verdwijning,de politie heeft een dossier geopend over die onrustwekkende verdwijning,de politie heeft een dossier geopend over die onrustwekkende verdwijning
waar is de nooduitgang,waar is de nooduitgang,waar is de nooduitgang
men zegt dat geld niet gelukkig maakt,men zegt dat geld niet gelukkig maakt,men zegt dat held niet gelukkig maakt
een ronde kamer heeft geen hoeken,een ronde kamer heeft geen hoeken,een ronde kamer heeft geen hoeken
op papier was hun relatie perfect,op papier was hun relatie perfect,op papier was hun relatie perfect
robots zijn cool,robots zijn cool,robots zijn cool
loopschoenen zijn ontwikkeld om optimale steun te geven aan je voet,loopschoenen zijn ontwikkeld om optimale steun te geven aan je voet,loopschoenen zijn ontwikkeld om optimale steun te geven aan je voet
ze zijn geëmigreerd naar indië in tweeduizend en vijf,ze zijn geëmigreerd naar indië in tweeduizend en vijf,ze zijn geëmigreerd naar indië in 2005
de vastgelegde maximumsnelheden in belgië zijn dertig vijftig zeventig negentig en honderdtwintig kilometer per uur,de vastgelegde maximumsnelheden in belgië zijn dertig vijftig zeventig negentig en honderdtwintig kilometer per uur,de vastgestelde maximumsnelheden in belgië zijn 30 50 70 90 en 120 km per uur
wat is de topsnelheid van die wagen,wat is de topsnelheid van die wagen,wat is de topsnelheid van die wagen
ze is verkleumd van de kou,ze is verkleumd van de kou,ze is verkleumd van de kou
er staat een samenvatting op de kaft van het boek,er staat een samenvatting op de kaft van het boek,er staat een samenvatting op de kast van het boek
de doelman kon die goal onmogelijk vermijden,de doelman kon die goal onmogelijk vermijden,de doelman kon die goal onmogelijk vermijden
het is wel donker nu alle lichten uit zijn,het is wel donker nu alle lichten uit zijn,het is wel donker nu alle lichten uit zijn
mijn kussen is gevuld met veren,mijn kussen is gevuld met veren,mijn kussen is gevuld met veren
de arbeidsinspectie is langsgeweest en heeft hem betrapt op zwartwerken,de arbeidsinspectie is langsgeweest en heeft hem betrapt op zwartwerken,de arbeidsinspectie is langs geweest en heeft hem betrapt op zwatwerken
er is veel bewijs voor de evolutietheorie,er is veel bewijs voor de evolutietheorie,er is veel bewijs voor de evolutietheorie
mijn jongste gaat nog naar de kleuterklas,mijn jongste gaat nog naar de kleuterklas,mijn jongste gaat nog naar de kleuterklas
zoals de meeste kinderen van haar klas ging ze op woensdagnamiddag naar de opvang,zoals de meeste kinderen van haar klas ging ze op woensdagnamiddag naar de opvang,zoals de meeste kinderen van haar klas ging ze op woensdag namiddag naar de opvang
als het groen is mag je doorrijden,als het groen is mag je doorrijden,als het groen is mag je doorrijden
het internet lijkt niet meer te werken,het internet lijkt niet meer te werken,het internet lijkt niet meer te werken
neem je ook meteen wat koekjes mee,neem je ook meteen wat koekjes mee,neem je ook meteen wat koekjes mee
ik heb nog geen orderbevestiging gekregen in mijn mailbox,ik heb nog geen orderbevestiging gekregen in mijn mailbox,ik heb nog geen ordebewegingen tegen in mijn mailbox
het is nog te vroeg om te zien of onze strategie heeft gewerkt,het is nog te vroeg om te zien of onze strategie heeft gewerkt,het is nog te vroeg om te zien of onze strategie heeft gewerkt
het was een flauw mopje,het was een flauw mopje,het was een flauw mopje
er stond een hek naast de spoorweg om loslopend wild tegen te houden,er stond een hek naast de spoorweg om loslopend wild tegen te houden,er stond een hek naast de spoorweg om loslopend wild tegen te houden
istanboel is de enige stad die op twee continenten ligt,istanboel is de enige stad die op twee continenten ligt,istanbul is de enige stad die op twee continenten ligt
de kinderen speelden met de strandbal,de kinderen speelden met de strandbal,de kinderen speelden met de strandbal
in de meeste landen rijden ze rechts maar in sommige landen zoals het verenigd koninkrijk rijden ze links,in de meeste landen rijden ze rechts maar in sommige landen zoals het verenigd koninkrijk rijden ze links,in de meeste landen rijden ze rechts maar in sommige landen zoals het verenigd koninkrijk rijden ze links
al jarenlang verkleinen de gletsjers overal in de wereld,al jarenlang verkleinen de gletsjers overal in de wereld,al jarenlang verkleinen de gletsers overal in de wereld
eisden is een deelgemeente van maasmechelen,eisden is een deelgemeente van maasmechelen,eersten is een deelgemeente van maasmechelen
mijn wachtwoord is zonder mijn toestemming veranderd,mijn wachtwoord is zonder mijn toestemming veranderd,mijn wachtwoord is sonder my toestemming veranderd
de meeste sumoworstelaars zijn heel dik,de meeste sumoworstelaars zijn heel dik,de meeste summahorstelaars zijn heel dik
volgens de islam is jezus een profeet terwijl het christendom hem als de zoon van god beschouwt,volgens de islam is jezus een profeet terwijl het christendom hem als de zoon van god beschouwt,volgens de islam is jezus een profeet terwijl het christendom hem als de zoon van god beschouwt
ze hebben haar twee jaar onterecht gevangen gehouden,ze hebben haar twee jaar onterecht gevangen gehouden,ze hebben haar twee jaar onterecht gevangen gehad
jan zet de wasmachine nog snel aan voordat hij begint te koken,jan zet de wasmachine nog snel aan voordat hij begint te koken,jan zet de wasmachine nog snel aan voordat hij begint te koken
waar rook is is vuur,waar rook is is vuur,warok ist ist für
de vijf minuten waren bijna verstreken,de vijf minuten waren bijna verstreken,de 5 minuten waren bijna verstreken
het is wat saai kan je een stukje doorspoelen,het is wat saai kan je een stukje doorspoelen,het is al saai kan je een stukje doorspoelen
ze heeft dat gezien toen ze door het sleutelgat loerde,ze heeft dat gezien toen ze door het sleutelgat loerde,ze heeft dat gezien toen ze door het sleutelgat loerde
dat boek over kwantummechanica leest toch niet zo vlot,dat boek over kwantummechanica leest toch niet zo vlot,dat boek over kwantummechanica leest toch niet zo vlot
de titanic is gezonken in negentienhonderdentwaalf,de titanic is gezonken in negentienhonderdentwaalf,de titanic is gezonken in 1912
een bevel sluit je af met een uitroepteken,een bevel sluit je af met een uitroepteken,een bevel sluit je af met een uitroepteken
de kast staat voor de deur,de kast staat voor de deur,the costs start for the due
het onkruid schoot op tussen de stoeptegels,het onkruid schoot op tussen de stoeptegels,het onkruid schoot op tussen de stoeptegels
onderaan de stuwdam bevindt zich een waterkrachtcentrale,onderaan de stuwdam bevindt zich een waterkrachtcentrale,onderaan de stuwdam bevindt zich een waterkrachtcentrale
de nijl is de langste rivier ter wereld gevolgd door de amazone,de nijl is de langste rivier ter wereld gevolgd door de amazone,de nile is de langste rivier ter wereld gevolgd door de amazone
ze las de muzieknoten van de notenbalk,ze las de muzieknoten van de notenbalk,ze las de muzieknoten van de notenbalk
de hond zocht tevergeefs naar zijn baasje,de hond zocht tevergeefs naar zijn baasje,de hond zocht de vergeefs naar zijn baasje
de soldaten in de loopgraven waren vaak kanonnenvoer,de soldaten in de loopgraven waren vaak kanonnenvoer,de soldaten in de loopgraven waren vaak kanonnenvoer
hoeveel sprekers zou je nodig hebben om met artificiële intelligentie een goede spraakassistent te kunnen bouwen,hoeveel sprekers zou je nodig hebben om met artificiële intelligentie een goede spraakassistent te kunnen bouwen,hoeveel sprekers zou je nodig hebben om met een artificiële intelligentie een goede spraakassistent te kunnen bouwen
zijn paraplu had geen effect in de storm aangezien hij na een paar minuten al stuk was,zijn paraplu had geen effect in de storm aangezien hij na een paar minuten al stuk was,zijn palpeplu had geen effect in de storm aangezien hij na een paar minuten al stuk was
ze kijken nog televisie met een schotelantenne,ze kijken nog televisie met een schotelantenne,ze kijken nog televisie met een schotelantenne
de bomen en struiken krijgen nieuwe bladeren,de bomen en struiken krijgen nieuwe bladeren,de bomen en struiken krijgen nieuwe plaatjes
na die regenbui was hij nat van top tot teen,na die regenbui was hij nat van top tot teen,na die gereedschap was hij nat van top tot teen
ik heb een vlucht geboekt met ryanair,ik heb een vlucht geboekt met ryanair,ik heb een vluchtig opboek met ryanair
hoe hij dat gedaan heeft blijft een mysterie,hoe hij dat gedaan heeft blijft een mysterie,hoe hij dat gedaan heeft blijft een mysterie
papa en mama hebben mijn broer geholpen bij zijn verhuis,papa en mama hebben mijn broer geholpen bij zijn verhuis,pappen en mammen hebben mijn poelgoop bij zijn verhuis
gewapend beton is gewoon beton met stalen netten erin verwerkt,gewapend beton is gewoon beton met stalen netten erin verwerkt,gewaven beton is gewoon beton met stalen netten en in verwerkt
gisteren ging ze naar de kliniek om op een geslachtsziekte te testen,gisteren ging ze naar de kliniek om op een geslachtsziekte te testen,gisteren gingen ze naar de kliniek om op een geslachtziekte te testen
als voorgerecht eten we kaas met een glaasje wijn,als voorgerecht eten we kaas met een glaasje wijn,als voorgedeelte eten we kaas met een glasje wijn
ik moet er nog citroensap aan toevoegen,ik moet er nog citroensap aan toevoegen,ich mute noch zitronensap an du wurhan
in zeeland ben je overal binnen een half uur bij de zee,in zeeland ben je overal binnen een half uur bij de zee,in zeeland ben je overal binnen een half uur bij de zee
waar ga je naartoe,waar ga je naartoe,bah vasy nastu
haar handtas was gestolen in madrid,haar handtas was gestolen in madrid,haar handtas was gestolen in madrid
door de staking werk ik morgen vanuit huis,door de staking werk ik morgen vanuit huis,door de staking werk ik morgen vanuit huis
ik heb een paar klapstoelen gekocht in de solden voor op het terras,ik heb een paar klapstoelen gekocht in de solden voor op het terras,ik heb een paar klapstoelen gekocht in de zolder voor op het terras
de schoonmaakploeg was net gepasseerd in de vrouwentoiletten,de schoonmaakploeg was net gepasseerd in de vrouwentoiletten,de schoonmaakploeg was net gepasseerd in de vrouwentoiletten
het ziekenhuis zoekt naar nieuwe verpleegsters,het ziekenhuis zoekt naar nieuwe verpleegsters,het ziekenhuis zoekt naar nieuwe verpleegsters
mijn stickercollectie zit in de kaft,mijn stickercollectie zit in de kaft,mijn stickercollectie zit in de kuft
voortanden zitten vooraan in de mond gevolgd door de hoektanden net erachter en de kiezen achteraan,voortanden zitten vooraan in de mond gevolgd door de hoektanden net erachter en de kiezen achteraan,voortanden zitten vooraan in de mond gevolgd door de hoektanden net erachter en de kiezen achteraan
door de wind moest ze zich goed vasthouden aan de reling,door de wind moest ze zich goed vasthouden aan de reling,door de wind moet ze zich goed vasthouden aan de reving
zij zit in haar pyjama voor de tv,zij zit in haar pyjama voor de tv,ze zit in haar pyjama voor de tv
de vlieg vliegt,de vlieg vliegt,de vliegvlieg
herinner mij eraan om je nog een mailtje te sturen,herinner mij eraan om je nog een mailtje te sturen,herinner mij eraan om je nog een mailtje te sturen
schoenmaker blijf bij uw leest,schoenmaker blijf bij uw leest,schoenmaker blijf bij jou leest
onze aarde is geologisch actief terwijl andere planeten dat niet zijn,onze aarde is geologisch actief terwijl andere planeten dat niet zijn,onze aarde is geologisch actief terwijl andere planeten dat niet zijn
ik heb een stripverhaal gekregen,ik heb een stripverhaal gekregen,ik heb een strip van een hok gekregen
er zijn mensen die niet goed kunnen slapen na de omschakeling naar het winteruur,er zijn mensen die niet goed kunnen slapen na de omschakeling naar het winteruur,er zijn mensen die niet goed kunnen slapen na de omschakking naar het winteruur
ik ben verbrand door de zon en nu begin ik te vervellen,ik ben verbrand door de zon en nu begin ik te vervellen,ik ben verbrand door de zon en nu begin ik te vervuilen
tweeëntwintig plus negenendertig is eenenzestig,tweeëntwintig plus negenendertig is eenenzestig,22 plus 39 is 61
alle buren konden het horen als jan seks had met zijn vriendin,alle buren konden het horen als jan seks had met zijn vriendin,alle buren konden het horen als jan seks had met zijn vriendin
hij heeft dat jaar gedubbeld,hij heeft dat jaar gedubbeld,hij heeft het jaar gedubbeld
de mensen waar ik voor werk willen je op tijdelijk basis inhuren,de mensen waar ik voor werk willen je op tijdelijk basis inhuren,de mensen waar ik voor werk wil je op eindelijke basis inhuren
rond arnhem is veel gevochten in de tweede wereldoorlog,rond arnhem is veel gevochten in de tweede wereldoorlog,rond arnhem is veel gevochten in de tweede wereldoorlog
centrale verwarming is een recent fenomeen,centrale verwarming is een recent fenomeen,centralna vervarming je en recente fenomen
de motten hadden gaten gemaakt in de gordijnen,de motten hadden gaten gemaakt in de gordijnen,de motten hadden gaten gemaakt in de gordijnen
de gasten ergeren zich aan de wespen in hun drankjes,de gasten ergeren zich aan de wespen in hun drankjes,de gasten ergeren zich aan de wispen in hun drankjes
