reference sentences CVD,XLSR Wav2Vec2 Dutch,Whisper by OpeanAI,XLSR_Levenshtein,Whisper_Levenshtein
het containerschip lag aangemeerd in de haven,het containerschip lag aangemeerd in de haven,het containerschip lag aangemeerd in de haven,het containerschip lag aangemeerd in de haven,het containerschip lag aangemeerd in de haven
de bezorgtijd is dan wel minstens vier weken,de bezorgtijd is dan wel minstens vier weken,de bezorgdheid is dan wel minstens vier weken,de bezorgtijd is dan wel minstens vier weken,de bezorg(e)<d>_ijd is dan wel minstens vier weken
de dolfijnen sprongen uit het water voor de boeg van het schip,de dolfijnen sprongen uit het water voor de boeg van het schip,de dolfijnen sprongen uit het water voor de boeg van het schip,de dolfijnen sprongen uit het water voor de boeg van het schip,de dolfijnen sprongen uit het water voor de boeg van het schip
het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning,het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning,het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning,het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning,het vermiste jongetje droeg een geel tshirt op de dag van de verdwijning
de regenpijp lekt weer,de regenpijp lekt weer,de regenpijp lekt weer,de regenpijp lekt weer,de regenpijp lekt weer
met knikkende knieën liep ik het kantoor binnen,met knikkende knieën liep ik het kantoor binnen,met knikkende knieën liep ik het contour binnen,met knikkende knieën liep ik het kantoor binnen,met knikkende knieën liep ik het (c)(o)nto(u)r binnen
ze brak haar arm op meerdere plekken,ze brak haar arm op meerdere plekken,ze brak haar arm op meerdere plekken,ze brak haar arm op meerdere plekken,ze brak haar arm op meerdere plekken
de smartphone maakte een gek geluid,de smartphone maakte een gek geluid,de smartphone maakt een gek geluid,de smartphone maakte een gek geluid,de smartphone maakt_ een gek geluid
ik ben vergeten een cadeau te kopen,ik ben vergeten een cadeau te kopen,ik ben vergeten een cadeau te kopen,ik ben vergeten een cadeau te kopen,ik ben vergeten een cadeau te kopen
we moeten nog met de hond gaan wandelen,we moeten nog met de hond gaan wandelen,we moeten nog met de hond gaan wandelen,we moeten nog met de hond gaan wandelen,we moeten nog met de hond gaan wandelen
