Reference sentence PolyAI,XLSR Wav2Vec2 Dutch,Whisper by OpeanAI
ik wil graag mijn kaart blokkeren,ik wil graag mij naar kaart blokkeren,ik wil graag mijn kaart blokkeren
hoi mijn pinpas lijkt gestolen te zijn dus ik vond het alsof je deze zou kunnen blokkeren,goei ar mijn pinpels blijkgestolen te zijn dus e voo alsof i deze zou kunnen blokkeren,hoi mijn pinpas lijkt gestolen te zijn dus ik vond het alsof je deze zou kunnen blokkeren
blokkeer mijn kaart,blokkeer me kaart,blokkeer mijn kaart
ik wil graag mijn kaart blokkeren,ik wil graag meen kaart blokkeren,ik wil graag mijn kaart blokkeren
zou u alsjeblieft mijn kaart willen blokkeren,zout zou u alstublieft mijn kaart willen blokkeren,zou u alsjeblieft mijn kaart willen blokkeren
hoi kan ik mijn kaart bokeeren,hai kan ik mijn kaart blokkeren,hoi kan ik mijn kaart bokeeren
ik wil mijn kaart laten blokkeren hoe gaat dat,ik wil me een kaart laten blokkeren hoe gaat dat,ik wil mijn kaart laten blokkeren hoe gaat dat
goedemiddag ik zit een beetje in de stress ik hoop dat u mij snel kan helpen ik zie dat ik 20 euro van mijn rekening afschat van een onbekende persoon tenminste ik heb zelf de transactie niet gedaan en ik ken ook helemaal niet dat het zon buitenlandse rekening is in boek weet je wel dat dit onbetrouwbaar is het gaat nu om 20 euro dus dat is nog wel te doen maar kunt u zo snel mogelijk mijn kaart gewoon blokkeren en gewoon bevriezen ik weet niet hoe je dit doet,goede middaggej ik zit een beetje in de stres cope turmije snel kan helpen wanteer zie met dat een twintig eurovermirekening afshud van onbekente persoonlijkmistiek heb zelfde transactieniet gebaal en e kenk hermalniet met de zanbuitenlandse rekeninguargezindertien boeke beetje luide te wiisin om betaalbaar ganieuwteintigeuro is dus nog wat te doen maar kunt u zo snel mog ik mijn kaartgehomblokkeren en gal ofr bevrieselijk ennietdoedennoe vergonnis pnier vat zorgen dat u niks meer afgehald kan worden wat ja berekening is ofe in handen van andere mensen moorhokinggewedet zelf ook niet kunturen iie geval daarmee beginnen en naar een danamisschien kunt u de transactie terugboeken want  dit is niet mij nan betalingboekenkwestie,goedemiddag ik zit een beetje in de stress ik hoop dat u mij snel kan helpen ik zie dat ik 20 euro van mijn rekening afschat van een onbekende persoon tenminste ik heb zelf de transactie niet gedaan en ik ken ook helemaal niet dat het zon buitenlandse rekening is in boek weet je wel dat dit onbetrouwbaar is het gaat nu om 20 euro dus dat is nog wel te doen maar kunt u zo snel mogelijk mijn kaart gewoon blokkeren en gewoon bevriezen ik weet niet hoe je dit doet
ik wil mijn kaart blokkeren,ik wil mijn kaart blokkeren,ik wil mijn kaart blokkeren
ik wil mijn bankpas laten blokkeren,ik wil mijn bankpas laten blokkeren,ik wil mijn bankpas laten blokkeren
ik wil mijn kaart blok geven,ik wil mijn kaart blokkeren,ik wil mijn kaart blok geven
kunnen jullie mijn kaart blokkeren,kunnen jullie mijn kaat plokkeren,kunnen jullie mijn kaart blokkeren
hallo ik bel u omdat ik graag alle transacties op mijn kaart wil blokkeren ja blokkeren bevriezen van mijn kaart kunt u dat als verplicht van mij doen,alo spel u omdat ik graag alle transancties op enkanart wil blokkeren  je anblokkerende profrissen van de kaart kunt je dat alstuplicht van mij doen,hallo ik bel u omdat ik graag alle transacties op mijn kaart wil blokkeren ja blokkeren bevriezen van mijn kaart kunt u dat als verplicht van mij doen
goedemorgen ik ben zes jaar mijn pin pas verloren en ik weet ook echt niet waar ik hem kan hebben gelaten dus ik wil eigenlijk dat mijn kaart geblokkeerd wordt zodat al iemand hem vindt er in ieder geval geen gebruik van gemaakt kan worden,we mogen er ik web zeef mijn pimp was verloren en ik weet ook echt niet warikum kan hebben gelaten dus ik wil eigenlijk dat mijn kaart geblokkeerd wordt zelf al imet een vinderen die van geen gebruik van gemaaken kan worden,goedemorgen ik ben zes jaar mijn pin pas verloren en ik weet ook echt niet waar ik hem kan hebben gelaten dus ik wil eigenlijk dat mijn kaart geblokkeerd wordt zodat al iemand hem vindt er in ieder geval geen gebruik van gemaakt kan worden
kunt u mijn kaart blokkeer en alle transacties stoppen,kunt u mijn kraag blokkeren en alle transacties stoppen,kunt u mijn kaart blokkeer en alle transacties stoppen
ik ben mijn kaart verloren en ik wil deze graag blokkeren,ik ben mijn kaart verloren en ik wil deze graag blokkeren,ik ben mijn kaart verloren en ik wil deze graag blokkeren
